Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
260,Tennessee Tech,OVC,21-Nov,-7.73,100.7,108.4,69.6,-0.086,-1.96,101.6,103.5,3.77
261,Youngstown St.,Horz,18-14,-7.87,103.5,111.4,66.6,-0.001,-9.69,98.9,108.6,-6.57
262,Eastern Kentucky,ASun,13-18,-7.89,101.9,109.8,71.2,-0.12,-5.71,101,106.8,-5.29
263,Ball St.,MAC,14-16,-7.94,102.4,110.3,70.3,0.028,-4.91,101.7,106.6,-5.29
264,Louisiana Monroe,SB,13-18,-7.95,101.8,109.7,68,0.005,-1.29,101.9,103.2,2.48
265,Lipscomb,ASun,14-19,-8,102.9,110.9,69.5,0.013,-2.56,102.3,104.9,3.68
266,FIU,CUSA,15-16,-8.13,98.4,106.6,67.1,0.054,-3.97,102.4,106.3,-10.38
267,Northeastern,CAA,22-Sep,-8.18,97.4,105.6,64.7,-0.064,-0.98,104.5,105.5,0.3
268,Tennessee St.,OVC,14-18,-8.27,98.9,107.2,67.8,-0.054,-6.27,99.4,105.6,-7.52
269,Presbyterian,BSth,20-Dec,-8.36,97,105.4,64.4,-0.044,-2.68,102.5,105.2,4.11
270,North Florida,ASun,20-Nov,-8.51,97.9,106.4,68.1,0.003,1.81,104.8,103,14.57
271,Manhattan,MAAC,15-15,-8.58,100.8,109.4,68.8,0.097,-3.6,100.4,104,-5.9
272,Portland St.,BSky,16-Dec,-8.69,96.9,105.6,70.7,-0.007,-5.68,102.5,108.1,0.78
273,Loyola MD,Pat,14-16,-8.72,96.9,105.7,64.8,-0.037,-8.24,99.7,108,-4.7
274,Dixie St.,WAC,13-18,-9,96.6,105.6,71.6,0.032,0.29,103,102.8,-0.54
275,Cal St. Bakersfield,BW,18-Jul,-9.14,99.3,108.4,64.8,-0.037,-0.81,102.1,102.9,1.19
276,Jackson St.,SWAC,18-Nov,-9.18,94.1,103.3,64.3,0.008,-3.89,101,104.8,11.79
277,Pepperdine,WCC,25-Jul,-9.25,98.5,107.7,70.2,-0.023,4.2,105,100.8,0.05
278,Southeastern Louisiana,Slnd,18-13,-9.36,103.8,113.1,71.3,0.134,-6,100.7,106.7,2.27
279,Hartford,AE,19-Dec,-9.42,102.3,111.7,67.5,-0.056,-7.56,99.6,107.1,-4.64
280,USC Upstate,BSth,14-16,-9.49,101.5,111,68.6,0.069,-3.61,101.2,104.8,4.31
281,Bowling Green,MAC,13-18,-9.85,103.8,113.6,73.1,-0.011,-4.68,102.1,106.8,-7.56
282,Prairie View A&M,SWAC,18-Aug,-9.97,98.8,108.7,70.6,-0.02,-2.33,101,103.3,17.68
283,Binghamton,AE,16-Dec,-10.25,95.9,106.1,67.6,-0.014,-6.88,101,107.8,-2.4
284,Illinois Chicago,Horz,14-16,-10.45,100.1,110.6,69.5,0.059,-6.89,99.9,106.8,1.51
285,Pacific,WCC,22-Aug,-10.48,95.7,106.2,68.5,-0.048,0.63,104.6,104,-2.57
286,Duquesne,A10,23-Jun,-10.53,98.8,109.3,65.9,-0.037,1.82,104.1,102.3,-3.73
287,Radford,BSth,18-Nov,-10.53,95.8,106.4,64.5,0.023,-3.13,101.7,104.8,5.62
288,North Carolina Central,MEAC,14-14,-10.54,97.1,107.7,67.7,0.051,-5.05,99.1,104.1,1.99
289,Denver,Sum,21-Nov,-10.61,100.7,111.3,66.7,-0.046,-4.66,103.1,107.8,-4.08
290,Austin Peay,OVC,17-Dec,-10.61,95.6,106.2,64.9,0.066,-1.46,101.7,103.2,6.74
291,Albany,AE,13-18,-10.63,92.7,103.3,65.4,0.042,-5.76,101.1,106.9,-0.53
292,San Jose St.,MWC,22-Aug,-10.69,99.4,110.1,65.7,0.004,5.06,106.1,101,-1.78
293,Morgan St.,MEAC,13-Dec,-10.8,94.5,105.3,72.7,-0.02,-6.86,97.7,104.6,2.54
294,North Carolina A&T,BSth,20-Dec,-10.92,97.4,108.4,67.7,0.023,-2.88,101.3,104.2,3.3
295,Northern Illinois,MAC,21-Sep,-10.96,93.7,104.6,67.3,0.001,-2.03,103.4,105.4,1.31
296,Army,Pat,15-16,-11.08,97.2,108.2,69.1,0.025,-7.9,99.5,107.4,-3.3
297,SIU Edwardsville,OVC,21-Nov,-11.13,94.9,106,68.8,-0.024,-3.6,101.6,105.2,-1.13
298,Western Carolina,SC,21-Nov,-11.2,99.7,110.8,68.5,0.074,0.01,106,106,-2.31
299,Merrimack,NEC,14-16,-11.57,94.9,106.4,62.5,0.06,-7.17,99.9,107,-1.42
300,Cal Poly,BW,20-Jul,-11.87,94.4,106.3,64.8,-0.032,-2.23,101.8,104,-1.75
301,Maryland Eastern Shore,MEAC,14-Nov,-11.94,92.6,104.5,67.5,0.023,-5.11,99.1,104.2,5.7
302,UT Rio Grande Valley,WAC,22-Aug,-12.01,100.3,112.3,72,-0.06,-0.89,101.5,102.4,-0.45
303,Coppin St.,MEAC,22-Jul,-12.05,92.8,104.9,72.9,-0.049,-2.45,101,103.5,5.75
304,St. Thomas,Sum,20-Oct,-12.11,107.5,119.6,65.6,-0.084,-4.05,103,107.1,-1.82
305,Lehigh,Pat,13-19,-12.12,98.7,110.8,68.4,-0.015,-8.27,99,107.2,-5.02
306,Grambling St.,SWAC,19-Nov,-12.27,94.8,107.1,69.8,0.018,-4.14,99.6,103.8,10.64
307,South Carolina St.,MEAC,15-15,-12.34,93.2,105.6,70.5,0.089,-7.82,98.5,106.3,-4.41
308,Tennessee Martin,OVC,22-Aug,-12.36,96.9,109.3,69.2,-0.041,-1.4,102.2,103.6,4.35
309,Florida A&M,SWAC,13-16,-12.36,95.8,108.2,65.7,0.106,-5.53,99.5,105,8.94
310,Stetson,ASun,19-Nov,-12.37,97.3,109.7,66,-0.009,-3.43,102.7,106.2,-0.46
311,UTSA,CUSA,21-Oct,-12.83,95.3,108.1,68.9,-0.009,-1.1,103,104.1,-7.97
312,Sacramento St.,BSky,17-Oct,-13.05,96.3,109.3,64.9,-0.012,-5.27,102.3,107.6,2.15
313,Alabama St.,SWAC,21-Oct,-13.21,97.6,110.8,69.8,-0.002,-5.6,99.3,104.9,10.76
314,Eastern Michigan,MAC,21-Oct,-13.33,94.6,108,69.5,0.025,-2.74,102.8,105.6,1.05
315,North Alabama,ASun,21-Sep,-13.46,91,104.5,68,-0.064,-2.81,103.4,106.2,4.42
316,McNeese St.,Slnd,21-Oct,-13.62,97.6,111.2,70.1,-0.032,-4.31,101.5,105.9,5.21
317,Alabama A&M,SWAC,17-Nov,-13.72,88,101.7,66.6,0.032,-7.72,99,106.7,2.88
318,Evansville,MVC,24-Jun,-13.98,93.4,107.4,64.3,-0.065,2.75,105.2,102.4,-2.31
319,Central Arkansas,ASun,20-Nov,-14.03,99.4,113.5,72.2,0.098,-0.6,104.1,104.7,8.85
320,Central Michigan,MAC,22-Jul,-14.13,96.8,111,67.9,0.011,-1.24,104.1,105.3,3.62
321,Idaho,BSky,21-Sep,-14.21,100.5,114.7,70.6,-0.018,-3.96,102.3,106.3,2.89
322,Sacred Heart,NEC,20-Oct,-14.26,101.9,116.1,67.7,-0.027,-8.33,98.7,107.1,-5.15
323,St. Francis NY,NEC,20-Oct,-14.4,95.2,109.6,66.9,-0.037,-7.52,99.4,106.9,-1.9
324,Lafayette,Pat,20-Oct,-14.49,97.8,112.3,65,-0.041,-7.48,101,108.5,-0.05
325,St. Francis PA,NEC,21-Sep,-14.54,95.7,110.3,67.6,-0.075,-6.95,100.4,107.4,-1.48
326,Little Rock,SB,19-Sep,-14.74,97.7,112.5,67,0.075,0.67,103.4,102.7,4.66
327,Northwestern St.,Slnd,22-Sep,-14.75,99.4,114.1,71.5,-0.058,-3.77,102,105.8,6.67
328,Western Michigan,MAC,23-Aug,-14.91,97.7,112.6,64.3,-0.024,-1.71,104.4,106.1,4.92
329,Cal St. Northridge,BW,22-Jul,-15.11,95.6,110.7,65.5,0.029,-0.44,102.4,102.8,1.5
330,Robert Morris,Horz,24-Aug,-15.17,99.1,114.3,67,-0.067,-5.85,101.3,107.1,3.47
331,Hampton,BSth,19-Sep,-15.19,91.3,106.4,69.4,0.07,-5.16,99.8,105,-2.39
332,American,Pat,22-Oct,-16.21,95,111.2,65.2,0.003,-7.11,100.3,107.4,-3.48
333,Bethune Cookman,SWAC,21-Sep,-16.61,93.6,110.2,66.1,0.039,-6.15,98.8,105,3.85
334,Chicago St.,WAC,24-Jul,-16.92,96.8,113.7,66,0.039,-1.44,101.4,102.8,-4.39
335,Idaho St.,BSky,22-Jul,-16.93,95.4,112.4,64.1,-0.039,-4.14,102.2,106.4,2.37
336,Milwaukee,Horz,22-Oct,-17.01,92.4,109.4,67.2,-0.047,-7.64,100.4,108,-3
337,Northern Arizona,BSky,22-Sep,-17.11,95.6,112.7,65.4,0.018,-4.63,102.6,107.2,0.57
338,Houston Baptist,Slnd,17-Oct,-17.24,95.9,113.2,69.1,-0.008,-7.68,101.1,108.8,-0.85
339,Bucknell,Pat,23-Sep,-17.25,100.6,117.8,67.9,0.039,-5.99,101.2,107.2,-1.47
340,Southern Miss,CUSA,25-Jun,-17.65,94.7,112.4,67.3,0.018,0.66,104.1,103.4,-0.73
341,William & Mary,CAA,27-May,-17.83,90.5,108.4,69.1,0.015,-1.13,103.3,104.5,-1.51
342,Nebraska Omaha,Sum,25-May,-18.21,98.6,116.8,70.2,-0.055,-1.24,105.7,106.9,4.21
343,NJIT,AE,18-Nov,-18.43,90.1,108.5,66.3,0.092,-6.66,100.8,107.5,-6.18
344,Green Bay,Horz,25-May,-18.48,92.6,111.1,65,-0.116,-5.97,100.9,106.8,3.56
345,North Dakota,Sum,25-Jun,-19.42,97.4,116.8,67.6,-0.02,-4.66,103.4,108,-5
346,Fairleigh Dickinson,NEC,22-Apr,-19.73,95.4,115.1,69.9,-0.051,-4.94,100.9,105.9,5.92
347,Central Connecticut,NEC,24-Aug,-19.85,92,111.8,64.9,0.032,-6.14,100.6,106.8,-1.48
348,Lamar,WAC,27-Feb,-19.93,92.8,112.7,66.4,-0.065,-1.2,101.8,103,-0.61
349,Holy Cross,Pat,22-Sep,-20.27,91.7,112,67.4,0.059,-7.96,99.8,107.8,-4.38
350,Charleston Southern,BSth,25-Jun,-20.38,92.9,113.3,69.2,-0.002,-3.71,101.1,104.9,0.78
351,Columbia,Ivy,22-Apr,-21.19,93.7,114.9,69.8,-0.004,-3.87,101.8,105.7,-7.59
352,Incarnate Word,Slnd,24-Jul,-21.44,95.5,116.9,65,-0.005,-5.51,101.6,107.1,1.42
353,Arkansas Pine Bluff,SWAC,24-Jul,-21.54,98.2,119.8,67.5,0.009,-3.41,99.9,103.3,12.65
354,Maine,AE,23-Jun,-22.29,92.7,115,66.5,-0.048,-5.53,100.7,106.2,1.06
355,Mississippi Valley St.,SWAC,26-Feb,-22.54,93.2,115.7,71.1,-0.1,-5.79,99,104.8,5.58
356,Delaware St.,MEAC,25-Feb,-24.9,86.7,111.6,68.3,-0.116,-5.84,99,104.8,-0.61
357,Eastern Illinois,OVC,26-May,-25.41,84,109.4,65.1,0,-2.74,101.7,104.5,-1.48
358,IUPUI,Horz,26-Mar,-31.58,80,111.6,62.7,-0.055,-7.42,100.6,108,-4.23
