Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
62,Fresno St.,MWC,18-12,12.48,106.2,93.7,61.1,-0.083,3.46,104.9,101.4,-3.11
63,VCU,A10,21-8,12.46,100.2,87.7,68.8,0.078,5.22,106.7,101.5,5.4
64,Missouri St.,MVC,23-10,12.18,114,101.8,67.2,-0.045,0.94,104.5,103.6,-2.26
65,St. John's,BE,16-14,11.73,109.9,98.2,74.1,-0.09,6.36,106.4,100,-7.65
66,Santa Clara,WCC,21-11,11.67,113.9,102.2,71.1,-0.012,2.58,103.6,101.1,-1.19
67,Vermont,AE,26-5,11.64,110.9,99.3,65.6,-0.019,-6.78,99.9,106.7,2.29
68,South Dakota St.,Sum,29-4,11.46,117.4,106,69.8,0.057,-3.98,103.9,107.9,4.3
69,Chattanooga,SC,27-7,11.36,110.6,99.2,65,0.024,0.43,105.7,105.3,2
70,Creighton,BE,20-10,11.33,105.5,94.2,67.2,0.11,8.07,107.9,99.8,0.04
71,West Virginia,B12,15-16,11.24,108.6,97.4,68.3,-0.018,11.81,108.7,96.9,0.06
72,Virginia,ACC,18-12,10.98,109.8,98.8,59.5,0.001,5.8,107.5,101.7,-3.68
73,Rutgers,B10,18-12,10.97,106.6,95.6,65.3,0.024,7.65,108.6,101,-10.12
74,Furman,SC,22-12,10.91,114.4,103.5,65.2,-0.072,0.17,105,104.8,1.2
75,Toledo,MAC,25-6,10.9,112.4,101.5,69.4,0.034,-3.49,102.8,106.3,2.54
76,Northwestern,B10,14-15,10.77,107.3,96.5,67.9,-0.115,8.12,108.7,100.5,-10.22
77,Colorado,P12,20-10,10.72,107.3,96.6,67.3,0.058,4.53,105.6,101.1,-7.25
78,Towson,CAA,25-8,10.58,110.5,100,64.8,-0.009,-2.59,102,104.6,-1.19
79,Vanderbilt,SEC,15-15,10.55,106.8,96.3,67.9,-0.055,8.78,107.5,98.8,-0.23
80,Oregon,P12,18-13,10.43,110.6,100.1,67.9,0.014,7.53,106.8,99.2,3.7
81,Clemson,ACC,17-15,10.36,110.3,100,66.6,-0.069,6.08,107.2,101.1,-0.08
82,Belmont,OVC,25-7,10.12,109.1,99,69.2,0.077,-1.83,102.3,104.1,6.01
83,Maryland,B10,15-16,9.97,110,100,66.8,-0.025,9.17,109.2,100.1,-0.9
84,Drake,MVC,24-10,9.71,108.8,99.1,66.5,0.012,1.76,105.1,103.3,-3.82
85,UNLV,MWC,18-13,9.6,109.2,99.6,66.5,-0.005,5.13,105.3,100.1,1.95
86,St. Bonaventure,A10,20-8,9.28,109.2,99.9,66.2,0.111,3.33,104.6,101.3,2.07
87,New Mexico St.,WAC,24-6,9.15,107.4,98.3,67,0.097,0.47,102.7,102.3,4.11
88,Syracuse,ACC,15-16,9.07,114.7,105.6,67.7,-0.049,7.49,107.7,100.2,3.58
89,Wichita St.,Amer,15-12,8.84,104.7,95.9,67.2,-0.028,5.41,105.7,100.3,2.57
90,Iona,MAAC,25-6,8.68,108,99.3,69.4,0.021,-1.63,102.1,103.8,4.21
91,Penn St.,B10,16-Dec,8.52,105.7,97.1,62.2,-0.054,9.47,109.9,100.4,-2.5
92,Grand Canyon,WAC,22-7,8.51,104.2,95.7,65.7,0.015,-3.59,100.6,104.2,-6.2
93,Richmond,A10,19-12,8.48,109.5,101,67.1,0,3.88,105.6,101.8,3.11
94,Bradley,MVC,17-14,8.36,105.5,97.2,67.5,-0.09,2.03,104.9,102.9,-1.58
95,Northern Iowa,MVC,19-11,8.35,110.7,102.3,67.5,0.034,3.89,105.5,101.6,4.48
96,South Carolina,SEC,18-12,8.35,103.1,94.8,70.6,0.106,9.1,108.5,99.4,0
97,Arizona St.,P12,14-16,8.13,101.6,93.5,67.6,0.02,10.4,108.3,97.9,8.67
98,Tulane,Amer,13-14,7.72,109.4,101.7,68,-0.088,4.52,105,100.5,-1.34
99,DePaul,BE,15-15,7.24,107.3,100.1,69.1,-0.027,6.62,106.8,100.1,-7.43
100,Middle Tennessee,CUSA,22-9,7.06,106.4,99.3,68,0.003,-1.35,103.3,104.6,-0.67
101,Florida St.,ACC,17-13,7.03,106.4,99.3,68,0.064,7.45,109.5,102,0.69
102,Louisiana Tech,CUSA,21-9,6.98,108.2,101.2,69.1,0.011,-0.94,103.4,104.4,1
103,UCF,Amer,17-11,6.94,107.5,100.5,67.7,0.044,3.88,104.5,100.6,-3.48
104,Cincinnati,Amer,17-14,6.91,104.8,97.9,68.1,-0.057,2.74,104.1,101.3,-5.13
105,Mississippi,SEC,13-18,6.83,106.7,99.9,65.5,-0.068,8.04,107.3,99.2,-1.42
106,Princeton,Ivy,22-5,6.47,112.7,106.3,67.2,0.059,-4.81,101.7,106.5,-4.48
107,Minnesota,B10,13-16,5.7,108.3,102.6,65.5,0.012,9.43,108.9,99.4,-3.31
108,Stephen F. Austin,WAC,22-8,5.66,104,98.4,69.2,0.039,-1.54,102.8,104.3,3.78
109,Stanford,P12,15-15,5.62,104.5,98.9,66.3,0.074,8.75,107.7,98.9,2.22
110,George Mason,A10,14-15,5.16,107.3,102.2,65.2,-0.099,2.25,105.1,102.8,-0.72
111,Wofford,SC,19-13,5.11,107.1,101.9,64.6,-0.031,0.28,105.5,105.2,0.09
112,Western Kentucky,CUSA,19-12,5.06,107.8,102.8,69.1,-0.018,-0.97,103.2,104.2,-0.7
113,Morehead St.,OVC,23-11,4.75,104.4,99.7,65.1,0.024,-2.27,101.7,103.9,4.33
114,Utah Valley,WAC,19-11,4.74,103.1,98.3,66.3,0.003,0.08,102.7,102.6,3.03
115,Temple,Amer,17-11,4.68,103.1,98.4,66.5,0.097,3.94,104.8,100.9,-1.29
116,Nevada,MWC,17-Dec,4.68,107.2,102.5,70.5,-0.035,8.09,107.8,99.7,4.84
117,Washington,P12,16-14,4.53,104.3,99.7,70,0.091,6.25,106.7,100.4,-1.71
118,Utah,P12,19-Nov,4.47,107.8,103.3,66.7,-0.12,6.52,106.2,99.6,-1.17
119,Ohio,MAC,23-8,4.29,105,100.7,68.1,0.046,-5.74,101.4,107.2,-4.24
120,UC Irvine,BW,15-9,4.2,99.7,95.5,65.3,0.007,0.42,103.3,102.9,7.08
121,Buffalo,MAC,19-10,3.96,108.2,104.2,71.2,-0.016,-2.82,102.7,105.5,5.9
122,Southern Illinois,MVC,16-15,3.95,103.3,99.4,62.5,-0.071,0.89,103.9,103.1,-5.3
123,Liberty,ASun,22-11,3.94,105.7,101.8,65.6,-0.034,-4.51,101.6,106.1,-0.02
124,Florida Atlantic,CUSA,18-13,3.87,106.8,102.9,67.4,-0.093,-2.49,102.3,104.8,-6.32
125,Colgate,Pat,22-11,3.66,108.5,104.9,67.6,-0.072,-7.83,100,107.8,1.65
126,Rhode Island,A10,14-15,3.37,100.1,96.7,67.2,-0.097,0.99,104.6,103.7,-3.01
127,Wagner,NEC,21-5,3.34,104.3,100.9,67.1,0.061,-9.7,98.1,107.8,1.79
128,Hofstra,CAA,21-11,3.34,109.2,105.8,69.3,0.06,0.06,104.6,104.5,5.51
129,Saint Peter's,MAAC,16-11,3.23,98.8,95.6,66.5,-0.032,-2.42,101.8,104.2,4.08
130,UC Santa Barbara,BW,16-10,3.23,105.3,102.1,65.9,-0.079,-5.38,100.3,105.7,-9.97
131,Seattle,WAC,23-8,3.19,100.4,97.2,70.7,0.062,-5.4,100.9,106.3,-9.28
132,Texas St.,SB,21-7,2.91,106.3,103.4,64.1,0.136,-3.12,101.5,104.6,-1.25
133,Nebraska,B10,21-Oct,2.83,106.5,103.7,71.5,-0.047,9.09,108.9,99.8,-3.12
134,Butler,BE,13-18,2.75,102.4,99.6,63.8,0.006,10.49,109,98.5,1.82
135,South Alabama,SB,19-11,2.74,104.3,101.6,66.9,-0.05,-2.46,101,103.5,-0.69
136,Boston College,ACC,19-Dec,2.64,104.4,101.8,65.4,-0.084,4.38,105.7,101.4,-6.67
137,California,P12,19-Dec,2.62,101.6,98.9,64.2,-0.04,6.55,106.7,100.2,-1.55
138,Kent St.,MAC,21-9,2.6,101.5,99,66.2,0.046,-3.43,103,106.4,0.77
139,Abilene Christian,WAC,20-9,2.6,102.2,99.6,70.6,0.005,-3.59,100.9,104.5,-2.44
140,N.C. State,ACC,21-Nov,2.5,109.5,107,67.4,-0.076,6.13,107.6,101.5,-3.21
141,Montana St.,BSky,24-7,2.5,104.1,101.6,67.7,0.032,-5.99,102.7,108.6,-0.43
142,Longwood,BSth,26-6,2.49,106.7,104.2,66.4,0.095,-8.03,99,107,-6.84
143,Jacksonville St.,ASun,21-10,2.4,105.9,103.5,65.6,-0.021,-4.82,101.3,106.1,0.6
144,Delaware,CAA,21-12,2.19,107.8,105.6,67.2,0.015,-2.39,102.5,104.9,-3.44
145,Missouri,SEC,20-Nov,2.11,104,101.9,65.7,-0.02,10.83,108.4,97.6,2.91
146,Louisville,ACC,18-Dec,2.01,102.6,100.6,67.4,0.008,7.33,108.5,101.2,2.08
147,North Dakota St.,Sum,23-9,1.9,103.9,102,66.7,0.117,-5.1,103.5,108.6,-1.19
148,Georgia St.,SB,18-10,1.83,102,100.2,67.5,0.062,-1.11,101.7,102.8,2.19
149,Yale,Ivy,17-11,1.77,102.3,100.6,69.4,0.039,-2.19,102.9,105.1,0.93
150,Charleston,CAA,17-15,1.59,105,103.4,73.8,-0.035,-0.97,103.6,104.6,1.44
151,New Mexico,MWC,13-18,1.44,107.7,106.2,71.3,-0.033,5.66,106.1,100.4,1.89
152,Akron,MAC,21-9,1.38,105.5,104.1,62.5,0.016,-6.11,100.7,106.8,-4
153,Sam Houston St.,WAC,18-13,1.28,101.4,100.1,65.1,0.019,-0.45,102.5,102.9,4.13
154,Long Beach St.,BW,18-11,1.25,104.1,102.8,71.4,0.117,0.61,103.4,102.8,7.4
155,Hawaii,BW,16-10,1.24,103.7,102.4,65.3,-0.025,-3.94,100.9,104.8,-4.62
156,Appalachian St.,SB,19-14,1.21,102.1,100.9,64.5,0.026,0.05,103.7,103.6,6.68
157,Saint Joseph's,A10,18-Nov,1.04,101.5,100.4,68.3,-0.079,2.4,104.6,102.2,-1.41
158,Coastal Carolina,SB,16-13,0.95,103.7,102.7,66.4,-0.097,-1.9,101.9,103.8,2.02
159,Drexel,CAA,15-14,0.95,104.9,103.9,66.7,-0.063,-1.16,103.9,105.1,1.33
160,Oral Roberts,Sum,19-12,0.79,110.2,109.4,70.6,-0.027,-3.86,103.8,107.7,3.43
161,Southern Utah,BSky,20-10,0.77,107.1,106.3,68.8,0.041,-5.53,101.4,106.9,2.16
162,Georgia Tech,ACC,19-Dec,0.74,100,99.3,68.4,-0.017,6.05,107.8,101.7,-5.42
163,VMI,SC,16-15,0.64,111.4,110.7,68.8,-0.038,0.24,104.7,104.4,-0.37
164,Norfolk St.,MEAC,21-6,0.57,103.3,102.7,67.5,0.087,-9.31,96.7,106,-3.84
165,Jacksonville,ASun,21-10,0.48,100.9,100.4,61.8,0.047,-4.91,102.5,107.4,-3.09
166,Winthrop,BSth,23-9,0.44,106.4,105.9,68.7,0.115,-2.92,101.4,104.4,6.09
167,Cal St. Fullerton,BW,18-10,0.41,104.8,104.4,66.8,0.031,-3.02,101.1,104.1,-3.05
168,Monmouth,MAAC,19-12,0.33,102.3,102,67,0.07,-0.96,102.8,103.7,4.01
169,Tulsa,Amer,19-Oct,-0.04,104.1,104.1,66.8,-0.088,2.88,104.3,101.4,-5.12
170,Gardner Webb,BSth,18-13,-0.05,97.2,97.2,67.8,-0.029,-3.95,102.2,106.1,3.6
171,UC Riverside,BW,16-11,-0.07,101,101,65.5,0.024,-1.91,101.1,103,3.8
172,UTEP,CUSA,18-12,-0.21,101.3,101.5,66.8,0.062,-0.96,103.3,104.2,-1.41
173,UNC Greensboro,SC,17-14,-0.38,100.9,101.2,62.5,0.051,-0.86,105.3,106.2,-3.13
174,UNC Wilmington,CAA,23-8,-0.46,104,104.4,65.8,0.172,-3.21,102.1,105.3,-5.11
175,Portland,WCC,18-14,-0.51,103.5,104,69.3,0.054,-0.84,103.1,103.9,-5.92
176,East Carolina,Amer,15-14,-0.63,103.4,104.1,68,0.081,1.31,103,101.7,-7.68
177,Weber St.,BSky,20-11,-0.73,104.2,104.9,70.2,0.035,-5.65,101.9,107.6,0.15
178,Arkansas St.,SB,18-11,-0.76,100.7,101.5,68.6,0.065,-2.52,101.9,104.5,-5.04
179,Troy,SB,20-11,-0.85,99.5,100.4,67.2,0.089,-2.33,102.1,104.4,-3.78
180,Navy,Pat,21-10,-0.89,96.1,97,64.9,0.037,-7.11,100.8,107.9,3.81
181,Wright St.,Horz,20-13,-0.91,106.6,107.5,68.9,-0.014,-7.44,100.5,108,-0.18
182,Louisiana,SB,16-15,-0.91,102.2,103.1,69.9,-0.022,-1.89,101.5,103.3,-1.71
183,Georgetown,BE,24-Jun,-0.92,105.7,106.6,70.6,-0.104,8.52,107.5,99,-1.77
184,Fordham,A10,15-15,-0.96,95.8,96.7,68,0.004,-1.27,104,105.3,-7.37
185,Samford,SC,21-11,-0.98,105.7,106.7,69.4,0.162,-0.29,105.2,105.5,-3.41
186,East Tennessee St.,SC,15-17,-1.13,108.5,109.6,65.6,0.021,1.71,106,104.3,4.94
187,Illinois St.,MVC,13-20,-1.21,105.8,107,68.3,-0.103,1.16,104.2,103.1,-4.89
188,Old Dominion,CUSA,13-18,-1.22,101.5,102.7,64.5,-0.073,0.09,104,103.9,-0.74
189,Oakland,Horz,20-12,-1.37,103.6,104.9,67.7,0.022,-4.22,102.3,106.5,9.08
190,Charlotte,CUSA,17-13,-1.7,106.3,108,65.7,0.103,-0.55,103.6,104.1,0.4
191,Mercer,SC,16-17,-1.72,106.3,108,65,0.023,0.94,105.9,105,1.93
192,Cornell,Ivy,15-10,-2.02,103.8,105.8,72.2,0.059,-3.06,102.3,105.3,-1.69
193,Northern Kentucky,Horz,20-11,-2.02,101.4,103.4,64.6,0.014,-7.69,100.3,108,-3.67
194,Marist,MAAC,14-15,-2.12,102.1,104.3,66.6,-0.059,-4.37,100.8,105.2,-6.77
195,Niagara,MAAC,14-15,-2.18,100.6,102.8,64.8,-0.031,-2.7,102,104.7,-0.85
196,Massachusetts,A10,14-16,-2.19,111.3,113.5,69.1,0.061,1.38,102.9,101.6,-2.36
197,Valparaiso,MVC,14-18,-2.27,103.6,105.9,65.4,-0.024,1.18,104.3,103.2,-4.62
198,Loyola Marymount,WCC,18-Nov,-2.29,106.7,109,66.2,-0.003,4.38,105.5,101.1,2.47
199,Bellarmine,ASun,20-13,-2.29,108.8,111.1,62.3,0.113,-0.84,104.1,104.9,13.75
200,Cal Baptist,WAC,17-14,-2.43,101.3,103.8,67.9,-0.034,-4.76,100.2,105,-8.56
201,Bryant,NEC,21-9,-2.46,104.7,107.1,72.9,0.135,-8.54,98.6,107.1,0.14
202,Nicholls St.,Slnd,21-10,-2.48,102.2,104.7,70.1,0.043,-8.1,100.7,108.8,0.69
203,South Dakota,Sum,19-12,-2.54,105.3,107.8,66,0.058,-5.2,103.8,109,-5.01
204,Cleveland St.,Horz,20-10,-2.54,104.2,106.8,68,0,-8.25,99.6,107.8,1.05
205,Dartmouth,Ivy,16-Sep,-2.75,99.1,101.8,64.9,-0.122,-1.18,104,105.2,2.42
206,Texas Southern,SWAC,15-12,-2.85,98.1,101,67.9,-0.003,-5.97,99.8,105.8,10.52
207,Northern Colorado,BSky,18-14,-2.88,109.3,112.2,69.7,0.054,-3.69,102.4,106.1,8.52
208,Florida Gulf Coast,ASun,21-11,-2.93,104.8,107.7,70.1,0.077,-5.7,101,106.7,-5.22
209,Pittsburgh,ACC,21-Nov,-2.96,99.7,102.7,64.3,0.05,6.28,107.8,101.6,0.09
210,Georgia,SEC,25-Jun,-3.02,107.9,111,69,-0.019,8.27,106.7,98.4,-1.81
211,UC Davis,BW,10-Dec,-3.07,99.8,102.9,67.2,-0.006,-5.15,101,106.2,-6.03
212,UMKC,Sum,19-12,-3.08,100.8,103.9,67.7,0.058,-4.09,104.4,108.5,1.4
213,Tarleton St.,WAC,14-17,-3.2,100.5,103.7,63.3,-0.037,0.21,102.7,102.5,9.34
214,Penn,Ivy,15-Dec,-3.22,106.7,109.9,68.3,0.042,1.37,104.6,103.2,7.41
215,Boston University,Pat,21-12,-3.25,106.3,109.5,65.5,0.004,-8.14,98.3,106.5,-3.98
216,Brown,Ivy,13-16,-3.27,100.6,103.9,67.6,-0.047,-0.97,103.7,104.7,2.34
217,Southern,SWAC,17-13,-3.32,97.6,100.9,70.6,-0.017,-5.6,100.1,105.7,6.17
218,Eastern Washington,BSky,17-14,-3.58,104.6,108.2,70,0.009,-4.76,102.1,106.9,3.69
219,Campbell,BSth,16-13,-3.72,101.4,105.1,62.7,-0.046,-5.63,99.4,105,-0.72
220,UT Arlington,SB,18-Nov,-3.92,98.7,102.6,65.4,-0.027,1.48,103.2,101.8,10.94
